,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31
EMERA INC,0.0719962497263603,0.06531940623370364,0.059526080044392395,0.07048108378765282,0.07115598157408683,0.0784585834318843,0.08882588667341014,0.07864535482485643,0.06383396303850523,0.07728500869349172,0.08343894758800854,0.05924812314269845,0.07039145337461979,0.054398440010963584,0.0789858733091151,0.047118987738255284,0.05516802946810731,0.06519133724298187,0.04477020212049852,0.0433
TMX GROUP LTD,0.0593666887243922,0.043568862667533376,0.0895422777312629,0.08798961821572156,0.06986041258353537,0.06022806926947909,0.05102871814484133,0.04629540275123443,0.06077555118325382,0.09083959740027296,0.1343986101098477,0.06701207904653105,0.06884241116494368,0.12784607617981317,0.05730886091103966,0.06130618736532679,0.0565860829604606,0.05464953856941231,0.04977980386989831,0.0375
TD,2.114824580118977e-20,5.4053100815534555e-19,0.007549286192428114,4.1821521706759836e-19,0.014757577241852567,0.0,0.047721431579836444,0.0,0.0,0.0,0.02174008478831541,1.9736271370667154e-18,0.011896694406628066,9.520822820984006e-18,0.005854018884692895,0.016378069752278186,1.835907731878372e-18,0.012417211800612865,0.008865258263150181,0.0375
RBC,0.068667105655967,0.03907801452081917,0.031420712536894393,0.0534811499799843,0.04509333187742782,0.04382802071879391,0.0,0.04597226370715423,0.04527585816447983,0.05123692700629568,0.033404622209922186,0.025054299465475226,0.04017848108040767,4.9436433412513e-18,0.024161921659577958,0.02131263730178342,0.04475349592990814,0.034636466000920046,0.08676120610238634,0.0375
Al Rajhi Banking & Investment Corp,0.1719662056196408,0.20668829205857658,0.15408930332352266,0.13258829623878038,0.03280979411633041,0.036424567318604044,0.06640479591741835,0.026802966643787784,0.0371467146890883,0.01699687532959233,0.05486166910563575,0.130779283819001,0.04584147321763768,0.03903086751380165,0.07026232771918448,0.10176877043068115,0.004374318908622386,0.05792975453911384,0.10469715568784434,0.0375
ICG,1.5422480157171867e-19,0.0,0.007247555974350983,0.0,0.022718145791334993,0.0,0.012961841220070462,0.011840257687820176,0.010468330860383493,0.004368304755073369,0.019581351160631793,0.012743830782040666,0.006946809145863024,0.0047423064454401665,0.0,0.022208043374633668,0.011957409582947108,0.019690402267095973,0.008854529112656955,0.0375
Great-West Lifeco Inc,7.762629453913771e-20,0.010664830753070887,0.0,0.025940935565513745,0.08880349005055235,0.13274758764383532,0.1218832131378334,0.1179727295922524,0.10214479755793628,0.09984924998314025,0.026525410811221256,0.031193198373066285,0.09337362104308689,0.07288162813655066,0.09717563547725237,0.05119646951594051,0.11327508779458598,0.078948453266964,0.037013063361755326,0.0375
MANULIFE,0.0,1.0749944229738598e-18,5.217775487289804e-19,2.0209986940112125e-18,0.0,0.0031163211919242218,0.0,0.001596068424412471,0.01847616815818538,1.107373453664807e-19,1.2125193738585813e-18,0.009725194736937656,0.0069136758124888125,0.027706925917987877,0.0,4.948793458724784e-20,0.0009709146486242693,0.011838435601881045,0.0,0.0375
SUNLIFE,5.0791903460013435e-20,3.22713990985842e-19,0.01015086424154094,1.815726561270391e-18,0.025957248338966482,0.02365543385736343,0.0,0.04952031119333846,0.02571257938667288,0.03670904552562537,0.009488251814425912,0.023492113776948136,0.02600683412894417,0.027792195806406468,0.0452372353482526,0.02582982225935626,0.06808269017485154,0.029889737953999927,0.0040289836023085215,0.0375
RESMED,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NEWMONT,0.0008331945815010884,0.03494665369630162,0.034364051689613886,0.05369832216241671,0.06761605400596389,0.05398322805804066,0.09049015092525135,0.012959887653998305,0.021214631358991296,0.05142243591456798,0.016315929764776426,0.037054225448169026,0.0,0.02048764366753749,0.040300157628171275,2.682935014498952e-20,0.00840864496588484,0.0,0.03035838563962051,0.022
BARRICK GOLD,1.0632878611772402e-19,0.009121396978029014,3.505721556455169e-21,6.042174443097775e-21,0.0,3.3132814633494527e-19,0.0,0.025629561009155533,0.0,5.042037567856368e-19,0.0,4.048706696410277e-21,0.0,0.021441427961682302,2.8823506946164747e-19,6.771218316865689e-20,3.582777575420791e-20,1.3367128808768678e-21,0.012841495123053073,0.0216
FREEPORT MCMORAN,7.310300820264358e-20,1.7711692665016592e-21,0.00587569883181735,0.002445622376309968,4.520686125670901e-21,2.4969625987255437e-20,0.0,0.006035344164422803,0.014168407553805612,5.400381396254237e-20,0.0,1.3181101647765299e-21,0.004790500008624835,0.013955761749777655,0.008159944478004848,0.0,0.012481941541671319,0.0,9.372303401904497e-21,0.0216
ANGLO AMERICAN PLC,0.03692845889247051,0.04024205785694767,0.05155716614984912,0.05143132643105258,0.02887016221733729,0.05427400894533675,0.025182570780498032,0.027692538818901366,0.05209404170972953,0.04290994821941154,0.04362376027451376,0.05567439978105603,0.04734009475571548,0.026819146831041186,0.030909955360381526,0.03356403493920788,0.02548308116704164,0.019109842066782488,0.05811705086745911,0.0216
WHEATON PRECIOUS,0.04311889645104364,0.0,0.0,6.649135695206404e-21,0.0,0.00839615940536974,0.0,0.04262707049056005,0.0239166614744343,0.014621817996011298,0.04936612308197969,3.1066253449545143e-21,0.05578627128084609,0.021071016454151305,0.011179069191623078,0.03792640141421242,0.013069104878520489,0.05529512592281446,0.0,0.0216
NUCOR CORP,0.04911945007498478,0.04568989146872171,0.03820308332871964,0.02242472903022075,0.03351378377669883,0.013346603591252846,0.014327278294250621,0.015055597862961958,0.01860625790303928,0.021045797870009184,0.02069418687873012,0.03727137477077495,0.022083133954813584,0.026225003640434476,0.03945087334181928,0.05850956364657973,0.07055722744688171,0.05559503201040304,0.02868306836986732,0.0216
Riyadh Cement Co.,0.039098304778870344,0.051495365344137844,0.03705169950627241,0.05721971114205869,0.0645765905177599,0.08280454850130861,0.03338444270214588,0.046516174924165606,0.08532640705574465,0.09116068582775658,0.06439043978569828,0.057331391184909035,0.030159313561548395,0.07615731787453073,0.0306623438111294,0.02994475021057978,0.07488412274646013,0.030505246357325523,0.04489745584029003,0.026
CANADIAN PACIFIC KANSAS CITY LTD,0.0,0.012823518730349885,0.003622931172451287,0.015927941552330384,1.9401459606045884e-19,0.009484435239829989,0.022922806206583025,0.017393199491908547,0.0,0.013053049861220904,4.961720068113304e-19,0.0,0.024354831902826703,0.012334036247949563,0.022462200882531723,0.024975119179754673,0.010664472103760037,0.022384776168561063,0.006906748768156965,0.026
CANADIAN NATL RAILWAY CO,0.029069655656669687,0.03682920155877467,0.04933098882759271,0.0043717427865251415,0.018614968961387417,0.0037845432311713247,0.023468355040366304,0.02158735861901198,0.019873444527733583,0.00153104582240316,0.025127725796239963,0.036121189907497825,0.02687920370810398,0.012828893907037823,0.023524369997438663,0.024157523423344478,0.0214506614813442,0.023638430557197887,0.007566639076414123,0.026
WEIR GROUP,0.006132219224759959,0.0,0.010824235342890532,0.0022361732007036127,0.004469515316766672,0.004908811547958657,0.020100647933628046,0.010055757468997733,0.005972474576569719,0.005309047832668076,8.029881546762016e-20,0.006560716623899039,0.021537399909761456,0.00045303252684164087,0.024354786678690905,0.024439106434744264,0.0014019702918324599,0.024167437474502777,0.01149391046462852,0.026
WASTE CONNECTIONS,0.055699820339700015,0.028851914366737605,0.029170145150793067,0.05024443131838218,0.04233892520408604,0.029017661479731435,0.03012374843089747,0.03444750949591614,0.01882767383995206,0.01894617065595128,0.04048183441806176,0.02998670228369412,0.02706925111702873,0.028226719443640254,0.028996298843986665,0.026483500923459125,0.02159877337660318,0.02930410965791953,0.05913524585051038,0.026
US Treasury Bond,0.0003764706674036762,0.005151264967676344,0.0017335355690076427,0.004734647787265348,0.010331813419787535,0.010408614403350518,0.007715685296763475,0.010598661034110309,0.010979448881181252,0.014623945320018008,0.020257732762861975,0.023244346604655103,0.02135396925164363,0.020598376497362843,0.026178946288530493,0.02808754697047994,0.02683291940824635,0.024352993867352228,0.02345431604765786,0.05
CVS Health Corp Bond,0.01856021581185517,0.008625083755984983,0.0025342170874656875,0.0,0.0,0.0026619437994854565,0.0,0.0,0.0,0.0022714467212373384,0.0018737499149580241,0.0039680838289471755,0.004785847754434545,0.0031363155148511628,0.004216009070610763,0.0028848905446939603,0.000962811743697464,0.0,0.0,0.05
Canadian Treasury Bond,0.13106331352074113,0.13622365127633868,0.1457322473435267,0.14526535221273465,0.13966818658021246,0.13692944179716401,0.14228431470323652,0.1394013389658897,0.13902055111881875,0.13310460795874465,0.12786851732218,0.12278756956639773,0.12386018299392182,0.12626530798778599,0.11960504464085875,0.11902756248482609,0.12220426884805617,0.12564700613264776,0.12654568395234214,0.05
